order_id,seller_id,order_date,total_amount
Or168,S842,2021-12-06,142.79
Or169,S412,2024-08-22,132.96
Or170,S13,2022-02-20,50.9
Or171,S866,2023-11-19,308.59
Or172,S657,2020-06-21,310.03
Or173,S408,2020-08-23,125.33
Or174,S914,2024-11-24,282.49
Or175,S273,2023-01-16,431.49
Or176,S678,2024-01-06,39.31
Or177,S145,2022-04-09,246.5
Or178,S402,2023-07-08,47.72
Or179,S3,2023-02-21,297.9
Or180,S919,2024-11-25,22.81
Or181,S294,2023-12-09,188.9
Or182,S58,2024-06-25,127.41
Or183,S203,2020-11-06,418.17
Or184,S726,2021-07-07,167.33
Or185,S135,2023-12-06,43.94
Or186,S13,2021-04-14,296.27
Or187,S723,2023-04-02,149.59
Or188,S898,2024-12-30,473.98
Or189,S598,2022-06-13,415.11
Or190,S79,2021-04-02,273.6
Or191,S614,2022-04-18,298.26
Or192,S992,2020-10-22,311.02
Or193,S694,2022-03-13,313.63
Or194,S169,2020-08-12,266.95
Or195,S35,2024-05-09,437.82
Or196,S814,2022-04-19,153.73
Or197,S614,2021-08-13,236.43
Or198,S772,2020-10-06,237.68
Or199,S404,2020-09-25,356.75
Or200,S914,2023-11-27,393.45
Or201,S211,2024-04-05,10.26
Or202,S139,2023-12-14,129.32
Or203,S265,2021-01-21,306.71
Or204,S350,2021-05-22,381.65
Or205,S435,2021-03-23,124.38
Or206,S958,2023-09-10,485.75
Or207,S287,2021-04-22,294.32
Or208,S251,2022-11-26,86.29
Or209,S699,2020-12-21,490.05
Or210,S4,2022-05-28,292.41
Or211,S376,2021-02-05,105.18
Or212,S615,2021-02-24,333.48
Or213,S589,2021-04-04,447.28
Or214,S337,2025-05-03,183.02
Or215,S969,2023-01-22,53.1
Or216,S808,2020-11-02,481.91
Or217,S848,2025-03-03,351.01
Or218,S675,2020-07-16,118.49
Or219,S788,2023-02-28,60.11
Or220,S713,2023-05-27,204.74
Or221,S435,2021-03-28,403.83
Or222,S949,2024-02-23,477.4
Or223,S651,2021-05-15,469.69
Or224,S155,2020-10-19,175.74
Or225,S185,2023-05-12,279.57
Or226,S958,2023-09-19,22.14
Or227,S917,2023-07-30,70.47
Or228,S348,2020-08-16,305.95
Or229,S503,2022-06-24,411.06
Or230,S221,2024-05-25,115.2
Or231,S989,2022-07-30,467.19
Or232,S362,2023-05-03,197.65
Or233,S498,2025-03-23,57.75
Or234,S449,2021-10-12,429.71
Or235,S597,2023-01-19,120.28
Or236,S202,2025-05-14,80.91
Or237,S681,2024-10-29,241.43
Or238,S210,2022-03-29,53.94
Or239,S341,2022-01-26,38.57
Or240,S334,2020-07-09,117.84
Or241,S30,2020-12-08,31.09
Or242,S562,2021-04-13,17.45
Or243,S902,2023-10-10,114.55
Or244,S552,2022-02-08,147.64
Or245,S986,2025-02-25,121.0
Or246,S72,2021-07-18,335.85
Or247,S114,2021-05-02,377.02
Or248,S289,2023-04-19,75.39
Or249,S811,2020-09-25,288.79
Or250,S460,2020-12-27,243.5
Or251,S938,2024-12-23,19.41
Or252,S801,2021-01-09,162.37
Or253,S404,2021-10-22,194.98
Or254,S56,2022-01-01,87.55
Or255,S166,2020-06-25,71.5
Or256,S426,2023-02-16,233.22
Or257,S55,2024-09-26,140.77
Or258,S507,2022-05-20,147.27
Or259,S260,2024-02-20,380.5
Or260,S249,2023-08-10,354.26
Or261,S730,2021-03-18,98.41
Or262,S348,2021-12-01,283.95
Or263,S177,2023-09-03,417.2
Or264,S856,2024-07-08,340.01
Or265,S907,2023-02-14,322.41
Or266,S960,2024-10-09,133.19
Or267,S731,2020-08-02,184.77
Or268,S246,2025-03-31,167.93
Or269,S304,2024-02-03,111.15
Or270,S85,2021-04-26,268.61
Or271,S350,2023-02-03,308.44
Or272,S338,2023-02-21,136.81
Or273,S411,2020-11-21,91.67
Or274,S275,2020-08-08,62.97
Or275,S475,2022-03-02,174.54
Or276,S880,2021-09-27,158.83
Or277,S234,2022-05-17,280.08
Or278,S884,2023-05-12,461.02
Or279,S153,2023-07-20,121.68
Or280,S341,2020-07-01,302.79
Or281,S849,2020-11-22,480.26
Or282,S248,2023-02-04,390.05
Or283,S829,2023-04-22,161.18
Or284,S579,2021-08-11,492.82
Or285,S138,2021-08-05,288.72
Or286,S899,2022-02-25,378.81
Or287,S34,2024-06-03,289.67
Or288,S555,2024-07-22,136.38
Or289,S282,2022-11-26,311.83
Or290,S35,2024-12-01,225.92
Or291,S710,2021-10-23,182.02
Or292,S193,2024-04-08,85.43
Or293,S71,2025-02-21,466.64
Or294,S694,2021-01-25,402.09
Or295,S48,2024-06-19,442.59
Or296,S398,2024-10-25,395.09
Or297,S649,2024-10-23,106.77
Or298,S577,2020-11-06,151.34
Or299,S833,2024-06-03,374.14
Or300,S675,2023-11-09,477.75
Or301,S573,2024-08-27,234.55
Or302,S575,2020-09-11,371.87
Or303,S445,2021-01-03,427.22
Or304,S755,2020-08-18,286.8
Or305,S845,2021-05-06,463.29
Or306,S630,2023-05-23,461.81
Or307,S481,2023-03-07,212.7
Or308,S548,2021-04-11,298.09
Or309,S918,2021-05-10,150.84
Or310,S450,2022-07-04,33.73
Or311,S233,2023-03-17,115.93
Or312,S732,2025-05-07,29.57
Or313,S613,2022-06-17,94.44
Or314,S407,2023-06-15,261.83
Or315,S953,2024-05-05,295.51
Or316,S872,2022-09-12,99.33
Or317,S585,2024-10-07,452.94
Or318,S110,2021-08-15,135.21
Or319,S107,2025-01-25,416.35
Or320,S714,2023-09-03,324.93
Or321,S68,2025-01-01,447.11
Or322,S642,2024-06-19,449.02
Or323,S78,2022-09-27,167.35
Or324,S962,2022-04-28,134.11
Or325,S87,2024-01-03,139.41
Or326,S249,2024-05-15,140.9
Or327,S80,2022-07-18,478.49
Or328,S232,2024-06-13,77.9
Or329,S970,2022-10-21,494.59
Or330,S898,2022-12-07,499.16
Or331,S686,2024-10-14,103.33
Or332,S160,2025-03-31,393.66
Or333,S846,2025-01-25,254.8
Or334,S436,2021-12-19,211.49
Or335,S341,2023-07-06,335.98
Or336,S521,2021-03-25,261.13
Or337,S232,2020-06-11,240.22
Or338,S379,2024-01-15,229.3
Or339,S214,2023-05-10,431.2
Or340,S799,2021-11-14,439.88
Or341,S808,2021-03-14,422.25
Or342,S131,2023-04-08,78.02
Or343,S859,2023-04-26,143.77
Or344,S165,2024-12-30,378.87
Or345,S19,2022-01-23,39.89
Or346,S696,2021-02-26,128.16
Or347,S834,2021-12-15,264.11
Or348,S77,2020-08-22,390.02
Or349,S242,2021-06-08,191.52
Or350,S134,2023-10-06,71.81
Or351,S945,2021-04-06,60.69
Or352,S527,2024-12-11,192.2
Or353,S587,2022-07-17,116.75
Or354,S884,2022-07-31,486.11
Or355,S71,2023-09-22,408.96
Or356,S982,2020-09-23,416.55
Or357,S844,2020-11-11,275.14
Or358,S554,2023-11-27,17.82
Or359,S827,2025-02-27,130.46
Or360,S914,2023-08-20,86.6
Or361,S459,2024-10-11,84.45
Or362,S937,2021-12-05,39.09
Or363,S773,2024-09-25,267.92
Or364,S391,2022-03-06,29.45
Or365,S539,2022-12-28,226.07
Or366,S586,2022-07-26,225.66
Or367,S655,2023-08-18,402.26
Or368,S145,2023-11-09,108.57
Or369,S147,2025-03-09,394.3
Or370,S668,2022-12-14,226.87
Or371,S881,2024-06-02,465.66
Or372,S699,2025-01-07,22.69
Or373,S19,2023-02-08,212.04
Or374,S893,2024-07-13,128.76
Or375,S724,2022-04-17,150.44
Or376,S334,2022-11-16,362.92
Or377,S225,2025-02-08,313.76
Or378,S383,2023-01-26,431.98
Or379,S858,2023-06-18,321.41
Or380,S529,2020-06-19,277.36
Or381,S577,2024-08-25,164.35
Or382,S1000,2022-02-15,346.24
Or383,S763,2022-08-22,435.76
Or384,S578,2025-01-31,117.85
Or385,S538,2022-07-01,341.19
Or386,S507,2025-05-27,372.39
Or387,S553,2023-06-11,245.8
Or388,S310,2020-11-27,214.68
Or389,S10,2023-08-25,304.53
Or390,S560,2020-08-10,110.49
Or391,S81,2023-06-24,146.88
Or392,S946,2020-07-10,402.6
Or393,S679,2024-11-14,196.62
Or394,S690,2025-01-29,161.08
Or395,S543,2022-10-17,342.46
Or396,S450,2022-08-06,112.82
Or397,S673,2020-06-26,84.31
Or398,S207,2022-01-23,243.9
Or399,S97,2023-11-13,212.99
Or400,S84,2023-07-09,94.76
Or401,S851,2020-09-18,142.88
Or402,S483,2022-09-17,126.06
Or403,S357,2023-04-03,406.46
Or404,S540,2023-08-05,338.63
Or405,S585,2024-05-16,248.61
Or406,S938,2021-11-02,401.09
Or407,S435,2023-01-14,95.06
Or408,S203,2020-08-03,351.19
Or409,S876,2023-05-24,242.77
Or410,S264,2022-07-20,285.1
Or411,S963,2020-08-31,144.07
Or412,S989,2023-12-04,389.23
Or413,S919,2022-12-16,187.66
Or414,S687,2023-12-18,331.7
Or415,S680,2021-10-13,294.98
Or416,S131,2021-08-02,141.37
Or417,S81,2022-02-16,89.52
Or418,S919,2021-10-04,111.16
Or419,S664,2024-02-02,130.76
Or420,S45,2020-12-22,419.91
Or421,S706,2022-03-12,236.6
Or422,S366,2024-01-20,255.59
Or423,S336,2021-05-16,55.87
Or424,S304,2021-05-08,28.75
Or425,S930,2024-05-16,490.62
Or426,S794,2023-01-03,238.9
Or427,S357,2020-10-07,372.51
Or428,S370,2020-09-02,498.69
Or429,S42,2021-08-25,483.19
Or430,S937,2023-10-20,319.33
Or431,S805,2022-01-01,341.58
Or432,S425,2021-10-20,361.08
Or433,S573,2021-09-14,151.18
Or434,S620,2024-07-08,225.93
Or435,S897,2021-04-22,62.68
Or436,S609,2021-02-09,168.31
Or437,S767,2025-04-05,357.12
Or438,S596,2024-06-21,382.65
Or439,S970,2021-01-09,448.2
Or440,S675,2021-11-04,399.78
Or441,S844,2025-03-14,140.96
Or442,S377,2022-05-22,87.91
Or443,S756,2020-08-23,364.48
Or444,S633,2022-11-25,487.97
Or445,S873,2022-11-03,147.41
Or446,S744,2021-07-10,382.04
Or447,S699,2023-04-23,302.43
Or448,S176,2025-05-20,449.54
Or449,S604,2022-03-04,375.69
Or450,S72,2021-11-13,425.19
Or451,S791,2025-01-16,254.06
Or452,S292,2024-06-10,127.57
Or453,S817,2022-01-06,439.52
Or454,S668,2025-04-25,144.07
Or455,S881,2025-04-28,492.55
Or456,S872,2023-07-21,125.75
Or457,S832,2020-08-26,79.55
Or458,S189,2024-10-29,123.54
Or459,S435,2021-05-28,156.84
Or460,S298,2022-05-21,389.44
Or461,S184,2024-02-04,497.91
Or462,S240,2024-11-15,354.61
Or463,S936,2022-02-04,406.44
Or464,S802,2022-04-09,328.55
Or465,S142,2022-08-16,117.54
Or466,S627,2023-09-10,437.36
Or467,S680,2021-08-12,267.89
Or468,S533,2024-08-05,118.07
Or469,S469,2024-04-30,174.94
Or470,S500,2025-02-20,481.97
Or471,S513,2021-01-18,393.97
Or472,S228,2020-08-06,253.98
Or473,S526,2023-01-02,67.78
Or474,S727,2022-01-18,475.52
Or475,S700,2022-01-14,309.09
Or476,S361,2024-02-05,283.52
Or477,S685,2020-11-05,109.63
Or478,S77,2022-09-18,384.63
Or479,S998,2024-03-08,116.97
Or480,S22,2021-08-24,104.11
Or481,S933,2023-08-18,189.12
Or482,S223,2020-06-12,288.51
Or483,S127,2020-06-17,231.52
Or484,S820,2024-06-02,335.62
Or485,S129,2023-12-15,64.32
Or486,S297,2022-02-09,230.58
Or487,S726,2024-12-28,363.94
Or488,S966,2020-07-17,364.61
Or489,S329,2021-01-17,208.89
Or490,S930,2024-09-29,45.66
Or491,S339,2023-05-27,18.17
Or492,S279,2023-02-11,452.77
Or493,S609,2024-05-31,310.16
Or494,S288,2022-10-31,228.65
Or495,S882,2023-08-02,191.67
Or496,S206,2025-02-23,453.65
Or497,S317,2020-11-09,293.56
Or498,S792,2024-02-12,95.31
Or499,S138,2022-08-22,163.56
Or500,S438,2024-09-16,293.05
Or501,S382,2020-09-13,488.09
Or502,S463,2024-10-31,433.32
Or503,S37,2022-10-11,453.78
Or504,S616,2021-01-07,360.42
Or505,S155,2021-10-28,422.97
Or506,S969,2024-02-01,213.23
Or507,S25,2022-03-17,240.3
Or508,S289,2024-09-02,192.99
Or509,S174,2022-05-18,86.71
Or510,S222,2021-10-18,485.09
Or511,S346,2023-01-14,68.24
Or512,S670,2021-11-18,420.75
Or513,S313,2023-05-12,430.7
Or514,S481,2021-10-21,448.71
Or515,S884,2023-08-06,241.94
Or516,S333,2020-12-30,469.88
Or517,S215,2024-02-12,10.25
Or518,S782,2022-10-22,142.88
Or519,S235,2022-01-28,158.47
Or520,S405,2025-05-21,425.29
Or521,S714,2023-08-13,156.13
Or522,S574,2024-08-25,321.46
Or523,S368,2024-07-30,457.32
Or524,S989,2021-07-23,379.64
Or525,S996,2022-10-29,76.15
Or526,S43,2022-04-12,359.79
Or527,S706,2020-11-12,475.49
Or528,S433,2024-03-03,424.81
Or529,S358,2023-05-29,93.5
Or530,S270,2022-06-04,110.88
Or531,S44,2025-05-06,316.56
Or532,S23,2024-12-28,202.97
Or533,S530,2022-11-02,241.35
Or534,S237,2021-07-31,393.66
Or535,S893,2025-05-07,384.27
Or536,S402,2024-11-16,357.29
Or537,S17,2021-07-09,409.42
Or538,S398,2020-12-02,165.59
Or539,S252,2021-02-02,84.23
Or540,S689,2024-11-02,288.44
Or541,S410,2021-01-17,101.02
Or542,S609,2023-12-10,490.71
Or543,S804,2021-11-21,255.45
Or544,S637,2021-01-14,105.54
Or545,S810,2021-08-23,99.08
Or546,S6,2023-02-19,14.29
Or547,S444,2021-11-01,125.98
Or548,S30,2025-01-25,127.57
Or549,S139,2023-06-13,368.93
Or550,S451,2021-09-08,354.94
Or551,S520,2023-04-16,226.76
Or552,S344,2022-09-13,43.39
Or553,S444,2021-09-10,432.8
Or554,S858,2021-01-04,162.72
Or555,S18,2024-01-17,19.76
Or556,S989,2023-10-28,92.96
Or557,S601,2024-04-16,153.24
Or558,S154,2021-10-07,146.01
Or559,S279,2021-04-21,53.37
Or560,S587,2022-01-26,266.38
Or561,S753,2025-03-11,308.67
Or562,S482,2024-11-08,165.92
Or563,S484,2022-11-29,486.21
Or564,S932,2020-12-17,460.95
Or565,S945,2023-11-12,388.78
Or566,S239,2022-02-14,22.04
Or567,S756,2022-03-17,407.68
Or568,S54,2023-02-23,236.63
Or569,S847,2023-07-23,167.18
Or570,S350,2024-06-13,70.46
Or571,S115,2024-04-05,370.7
Or572,S75,2020-10-08,354.09
Or573,S328,2021-04-10,451.56
Or574,S934,2022-12-08,194.17
Or575,S121,2020-12-28,152.97
Or576,S254,2023-01-18,179.26
Or577,S49,2024-10-28,94.28
Or578,S284,2024-06-29,304.08
Or579,S373,2023-06-23,384.12
Or580,S694,2022-03-07,289.47
Or581,S700,2020-12-07,137.85
Or582,S5,2023-02-21,131.23
Or583,S618,2021-03-07,24.79
Or584,S519,2024-05-13,375.63
Or585,S443,2022-03-17,57.29
Or586,S594,2024-12-01,373.0
Or587,S229,2023-06-23,377.71
Or588,S458,2024-11-07,463.07
Or589,S240,2021-10-22,46.07
Or590,S155,2025-02-16,81.25
Or591,S316,2023-04-12,195.44
Or592,S928,2022-04-05,439.71
Or593,S465,2021-07-26,303.21
Or594,S774,2023-05-02,459.36
Or595,S856,2023-05-11,489.35
Or596,S524,2024-04-19,145.2
Or597,S819,2023-09-29,362.96
Or598,S371,2022-03-09,461.78
Or599,S60,2024-05-15,157.96
Or600,S434,2025-01-13,121.24
Or601,S84,2022-08-12,27.12
Or602,S493,2022-08-17,454.35
Or603,S886,2024-09-21,94.57
Or604,S826,2024-03-06,77.42
Or605,S880,2021-06-14,450.48
Or606,S843,2023-04-03,336.31
Or607,S681,2021-04-11,84.88
Or608,S325,2021-03-13,117.75
Or609,S874,2024-03-05,237.05
Or610,S726,2022-08-08,488.26
Or611,S797,2022-04-11,295.51
Or612,S910,2024-05-19,40.61
Or613,S790,2024-12-13,10.85
Or614,S946,2024-05-07,212.49
Or615,S525,2020-08-24,422.18
Or616,S61,2023-04-20,231.29
Or617,S532,2021-04-25,52.85
Or618,S820,2023-08-02,186.04
Or619,S949,2023-08-14,342.81
Or620,S239,2022-10-07,479.71
Or621,S475,2022-06-03,453.94
Or622,S13,2023-03-21,420.4
Or623,S106,2024-11-29,442.47
Or624,S813,2023-01-09,374.73
Or625,S612,2021-11-26,296.41
Or626,S879,2023-04-13,284.61
Or627,S144,2020-10-24,416.33
Or628,S952,2021-07-07,30.53
Or629,S134,2020-12-20,402.22
Or630,S448,2023-10-23,342.82
Or631,S250,2022-09-24,185.65
Or632,S132,2023-12-03,221.29
Or633,S785,2022-09-21,250.57
Or634,S768,2022-11-03,174.44
Or635,S244,2025-03-03,395.91
Or636,S720,2024-04-21,96.72
Or637,S496,2024-01-14,225.62
Or638,S865,2023-06-02,283.86
Or639,S410,2025-01-01,300.87
Or640,S913,2025-01-09,237.0
Or641,S774,2023-11-02,112.8
Or642,S890,2021-02-17,325.05
Or643,S220,2025-01-30,143.0
Or644,S432,2022-04-01,85.49
Or645,S893,2022-05-20,241.53
Or646,S152,2023-09-21,23.16
Or647,S76,2021-06-16,350.3
Or648,S18,2024-12-09,474.79
Or649,S950,2023-05-23,489.46
Or650,S798,2021-05-14,372.38
Or651,S584,2021-06-30,32.18
Or652,S229,2025-05-09,361.38
Or653,S57,2023-04-04,306.16
Or654,S458,2023-01-29,262.2
Or655,S164,2020-10-14,114.74
Or656,S689,2021-01-10,436.68
Or657,S275,2024-04-14,439.35
Or658,S415,2024-02-27,184.57
Or659,S814,2023-04-19,194.91
Or660,S329,2022-04-29,246.78
Or661,S522,2024-01-14,249.05
Or662,S9,2025-06-05,160.43
Or663,S149,2021-01-02,241.02
Or664,S67,2020-11-11,144.4
Or665,S109,2022-05-20,56.82
Or666,S746,2021-05-30,419.23
Or667,S275,2020-07-13,237.17
Or668,S316,2022-03-04,274.96
Or669,S463,2023-12-02,51.72
Or670,S83,2021-05-06,435.29
Or671,S233,2023-10-23,409.85
Or672,S582,2023-11-06,269.81
Or673,S198,2023-11-26,45.82
Or674,S359,2021-06-09,270.02
Or675,S724,2024-08-07,56.66
Or676,S768,2021-02-07,292.35
Or677,S290,2022-12-28,277.55
Or678,S227,2024-12-03,440.81
Or679,S698,2023-02-17,150.48
Or680,S99,2021-04-13,112.52
Or681,S517,2022-06-09,129.02
Or682,S104,2021-12-15,327.73
Or683,S697,2020-09-05,122.18
Or684,S275,2021-03-14,378.57
Or685,S104,2021-07-01,78.33
Or686,S689,2024-11-16,84.67
Or687,S908,2024-12-26,417.67
Or688,S454,2023-04-02,261.42
Or689,S548,2022-11-30,332.48
Or690,S336,2024-03-01,294.18
Or691,S656,2022-10-22,181.64
Or692,S339,2021-08-20,454.35
Or693,S491,2021-03-24,406.06
Or694,S11,2021-11-17,294.54
Or695,S955,2022-10-26,250.27
Or696,S507,2023-03-14,319.4
Or697,S715,2022-08-31,40.79
Or698,S362,2022-07-22,219.42
Or699,S493,2023-06-02,443.69
Or700,S94,2022-10-23,92.34
Or701,S11,2020-08-23,215.89
Or702,S741,2023-05-22,38.63
Or703,S186,2020-06-26,315.1
Or704,S415,2024-11-18,301.4
Or705,S341,2023-04-22,70.82
Or706,S912,2021-08-12,316.79
Or707,S656,2024-08-30,252.61
Or708,S463,2024-01-18,280.06
Or709,S468,2020-10-19,429.9
Or710,S372,2021-05-14,153.46
Or711,S454,2020-12-26,68.01
Or712,S949,2021-06-27,416.15
Or713,S53,2021-03-18,124.29
Or714,S827,2025-03-26,265.77
Or715,S895,2020-12-31,190.65
Or716,S981,2021-04-04,105.33
Or717,S127,2023-11-30,170.8
Or718,S71,2023-12-27,481.86
Or719,S489,2020-08-01,272.97
Or720,S136,2023-02-08,94.7
Or721,S687,2022-06-03,258.31
Or722,S108,2024-05-19,24.87
Or723,S44,2023-01-09,191.41
Or724,S165,2021-07-12,374.48
Or725,S385,2021-06-16,432.0
Or726,S424,2022-07-18,152.78
Or727,S635,2020-10-10,430.98
Or728,S85,2024-05-27,180.1
Or729,S865,2022-09-20,359.86
Or730,S849,2020-07-09,370.91
Or731,S68,2024-11-07,334.42
Or732,S764,2022-06-03,311.49
Or733,S599,2025-05-25,355.0
Or734,S893,2022-05-09,108.01
Or735,S521,2020-09-22,466.59
Or736,S324,2021-07-04,277.96
Or737,S425,2023-09-13,174.12
Or738,S592,2020-11-09,265.78
Or739,S883,2024-12-21,449.43
Or740,S778,2020-06-30,352.49
Or741,S901,2023-12-13,52.96
Or742,S758,2022-07-15,184.51
Or743,S528,2020-12-18,401.67
Or744,S261,2021-10-07,258.68
Or745,S108,2024-01-04,312.57
Or746,S665,2025-04-26,209.87
Or747,S650,2023-07-16,288.43
Or748,S508,2025-02-07,21.2
Or749,S924,2023-09-07,46.14
Or750,S119,2023-08-13,330.38
Or751,S788,2020-11-01,414.95
Or752,S428,2021-08-30,392.89
Or753,S361,2022-10-09,171.12
Or754,S955,2025-03-27,497.16
Or755,S748,2021-02-16,130.25
Or756,S386,2022-12-30,451.76
Or757,S981,2023-05-28,61.76
Or758,S775,2022-12-21,205.77
Or759,S534,2025-05-21,247.08
Or760,S214,2025-01-25,165.37
Or761,S811,2021-02-13,270.59
Or762,S828,2022-10-15,49.49
Or763,S746,2023-01-14,280.21
Or764,S313,2025-03-26,456.79
Or765,S422,2022-06-23,487.47
Or766,S280,2024-05-27,99.54
Or767,S376,2024-07-06,146.42
Or768,S392,2024-02-06,371.42
Or769,S194,2023-05-15,226.61
Or770,S53,2024-03-10,69.24
Or771,S318,2021-04-24,162.85
Or772,S453,2024-06-23,475.31
Or773,S217,2021-11-30,229.1
Or774,S411,2022-03-20,263.64
Or775,S369,2024-08-05,71.86
