feedback_id,order_id,seller_id,ratings,feedback_date
F242,Or3676,S133,4,2021-03-15 05:32:29
F243,Or5683,S49,4,2021-06-29 05:31:18
F244,Or5039,S398,2,2021-08-26 08:10:03
F245,Or2813,S648,5,2024-12-21 11:59:18
F246,Or1882,S80,1,2023-05-23 00:40:55
F247,Or1853,S572,4,2025-01-30 01:08:03
F248,Or224,S187,3,2023-07-05 22:47:27
F249,Or149,S843,5,2024-12-23 23:44:44
F250,Or9591,S200,3,2021-11-05 01:04:59
F251,Or9002,S717,2,2023-02-09 03:54:12
F252,Or8971,S502,3,2023-10-24 13:31:13
F253,Or5732,S604,5,2020-08-18 09:35:55
F254,Or1710,S796,2,2024-09-04 06:29:08
F255,Or586,S734,3,2021-05-22 00:54:43
F256,Or3221,S655,4,2023-09-26 20:44:01
F257,Or9338,S44,4,2021-09-20 08:26:15
F258,Or3729,S544,4,2024-08-19 13:29:05
F259,Or2601,S800,2,2021-12-02 14:41:37
F260,Or5738,S585,1,2021-10-03 17:36:27
F261,Or5863,S912,2,2023-09-18 06:30:05
F262,Or6235,S968,3,2023-02-07 07:47:20
F263,Or5560,S548,3,2021-11-17 09:25:33
F264,Or3191,S529,2,2023-05-01 07:13:49
F265,Or5482,S396,4,2021-12-15 06:42:40
F266,Or6304,S694,5,2020-07-06 12:58:00
F267,Or7953,S866,1,2020-10-08 15:33:16
F268,Or769,S687,5,2024-03-31 02:21:25
F269,Or8618,S268,2,2020-09-12 13:17:12
F270,Or4407,S661,2,2021-08-29 05:15:09
F271,Or1761,S83,4,2022-03-16 07:53:10
F272,Or7596,S172,4,2023-04-18 12:22:56
F273,Or7242,S839,5,2023-07-11 10:40:20
F274,Or2890,S484,2,2023-11-14 10:14:18
F275,Or5280,S407,5,2024-01-19 01:42:44
F276,Or8236,S610,1,2023-06-22 03:23:14
F277,Or4209,S431,2,2023-06-09 19:37:05
F278,Or1283,S823,4,2024-01-18 05:26:49
F279,Or1982,S162,3,2022-11-16 13:13:03
F280,Or9307,S585,4,2024-03-10 05:07:37
F281,Or930,S784,3,2020-09-06 13:32:27
F282,Or756,S690,4,2022-01-20 03:55:41
F283,Or4826,S714,4,2022-05-02 07:49:20
F284,Or4523,S968,1,2023-04-21 08:29:15
F285,Or9068,S724,4,2022-04-28 15:52:14
F286,Or6359,S515,2,2022-05-24 06:49:01
F287,Or4829,S687,5,2023-06-09 06:16:11
F288,Or1457,S547,5,2023-08-15 00:27:27
F289,Or3910,S474,3,2022-06-15 02:32:06
F290,Or7429,S269,2,2021-06-22 07:51:31
F291,Or4957,S681,3,2021-09-07 18:12:26
F292,Or8075,S402,2,2021-01-27 13:14:19
F293,Or6621,S361,5,2022-06-13 14:08:03
F294,Or2585,S610,5,2025-01-18 23:29:32
F295,Or9052,S68,3,2021-12-18 13:53:19
F296,Or6158,S224,1,2020-10-17 01:33:22
F297,Or2466,S815,1,2024-04-29 01:57:38
F298,Or9533,S460,4,2024-12-24 21:31:22
F299,Or6685,S636,1,2022-02-03 08:35:44
F300,Or5020,S348,5,2022-10-30 00:28:13
F301,Or1338,S352,1,2023-06-09 04:33:22
F302,Or5009,S674,4,2022-02-25 12:01:42
F303,Or114,S721,4,2022-09-08 18:57:07
F304,Or7176,S467,2,2021-01-09 04:38:46
F305,Or6650,S383,4,2023-08-27 01:05:40
F306,Or277,S189,2,2021-02-15 10:30:23
F307,Or2595,S52,3,2025-03-13 09:22:39
F308,Or3018,S323,3,2025-05-17 05:38:50
F309,Or5133,S776,3,2021-01-29 16:58:56
F310,Or6206,S408,3,2022-12-19 08:04:09
F311,Or244,S109,3,2024-09-05 17:52:00
F312,Or1042,S795,1,2020-08-05 03:19:21
F313,Or1443,S204,2,2021-11-24 09:14:12
F314,Or2413,S731,1,2023-11-26 15:04:26
F315,Or1058,S899,2,2023-12-07 04:58:19
F316,Or2906,S638,3,2023-01-03 15:37:40
F317,Or5692,S747,2,2023-08-04 03:25:39
F318,Or3855,S961,4,2024-05-05 00:49:01
F319,Or4862,S430,5,2021-04-22 17:41:39
F320,Or3859,S383,1,2023-01-14 02:14:10
F321,Or2070,S503,1,2021-02-24 22:53:49
F322,Or1403,S715,2,2025-05-11 15:52:14
F323,Or6259,S882,1,2022-12-31 18:29:50
F324,Or6714,S560,2,2020-06-14 06:36:02
F325,Or7580,S302,3,2025-03-13 12:24:41
F326,Or8492,S371,4,2024-03-23 14:36:17
F327,Or7691,S607,3,2020-12-17 07:31:25
F328,Or9696,S32,5,2025-04-18 19:29:40
F329,Or1344,S237,4,2023-08-21 03:06:56
F330,Or8793,S394,2,2025-04-02 20:38:37
F331,Or7142,S410,1,2023-09-06 04:09:35
F332,Or8773,S808,2,2024-06-17 08:11:17
F333,Or3628,S484,2,2021-03-29 13:29:57
F334,Or8292,S541,5,2021-01-12 12:49:26
F335,Or8503,S366,4,2024-04-12 17:09:13
F336,Or5458,S214,1,2021-01-19 06:11:39
F337,Or1354,S213,5,2024-04-06 06:00:05
F338,Or1196,S323,5,2021-09-15 00:32:44
F339,Or1295,S627,2,2022-02-13 19:02:47
F340,Or3647,S708,5,2022-04-02 17:47:12
F341,Or7544,S811,3,2024-01-07 01:15:03
F342,Or8203,S69,3,2024-01-25 06:27:49
F343,Or3993,S714,3,2020-07-08 21:11:55
F344,Or4448,S430,2,2023-08-10 07:32:37
F345,Or1868,S220,4,2024-07-09 21:22:49
F346,Or8403,S705,5,2022-07-11 09:24:34
F347,Or714,S418,4,2022-02-09 19:09:40
F348,Or2232,S411,1,2021-11-14 00:39:45
F349,Or4074,S184,3,2025-03-18 01:35:04
F350,Or6617,S586,2,2023-11-01 04:42:30
F351,Or5497,S659,2,2024-04-06 12:36:45
F352,Or396,S490,5,2025-05-22 23:01:20
F353,Or2193,S594,1,2025-04-10 05:30:02
F354,Or2046,S437,5,2020-06-27 10:50:27
F355,Or4486,S402,3,2023-08-28 21:48:01
F356,Or8236,S460,3,2020-11-14 21:45:12
F357,Or8005,S83,4,2022-01-07 17:26:38
F358,Or8508,S478,2,2023-08-29 05:53:30
F359,Or8492,S481,5,2024-05-31 16:02:53
F360,Or4890,S182,1,2024-06-17 01:55:59
F361,Or6827,S380,1,2020-09-16 14:55:02
F362,Or4945,S909,2,2025-04-23 23:16:46
F363,Or4040,S126,3,2021-10-11 03:39:26
F364,Or3780,S611,1,2025-03-13 13:47:28
F365,Or1207,S863,5,2024-09-28 23:06:56
F366,Or5020,S737,3,2021-07-03 14:59:51
F367,Or3129,S417,2,2022-11-28 10:22:17
F368,Or6930,S317,2,2022-04-30 16:50:57
F369,Or7539,S415,2,2023-10-27 04:43:22
F370,Or5373,S183,1,2023-06-16 13:57:37
F371,Or2366,S211,1,2024-12-20 15:52:12
F372,Or6936,S60,3,2020-07-05 10:25:30
F373,Or7578,S485,3,2020-10-31 02:37:52
F374,Or5139,S954,3,2025-03-31 06:13:05
F375,Or3964,S681,4,2022-03-21 11:32:02
F376,Or6361,S14,4,2025-01-07 18:40:35
F377,Or6229,S618,3,2024-05-03 21:41:40
F378,Or8574,S318,3,2024-01-14 21:48:29
F379,Or946,S951,2,2020-12-17 02:12:59
F380,Or8220,S415,5,2022-07-07 01:15:47
F381,Or8097,S313,2,2021-11-19 09:44:02
F382,Or4208,S326,1,2024-02-25 18:18:33
F383,Or2933,S883,1,2022-06-29 14:21:53
F384,Or8916,S931,2,2021-01-16 09:06:07
F385,Or4729,S727,2,2021-01-12 15:51:13
F386,Or6548,S904,5,2021-02-06 23:49:13
F387,Or4842,S127,3,2023-08-18 02:14:25
F388,Or7074,S13,5,2021-03-14 11:20:15
F389,Or4916,S367,4,2024-04-11 23:22:25
F390,Or5722,S281,4,2025-01-21 18:48:51
F391,Or2279,S862,4,2020-09-12 03:30:06
F392,Or6783,S124,2,2023-10-08 19:54:07
F393,Or5342,S587,2,2025-02-25 12:12:28
F394,Or4852,S676,4,2024-02-03 23:07:52
F395,Or5318,S562,1,2021-02-10 12:15:27
F396,Or3039,S158,2,2024-07-23 04:15:53
F397,Or9146,S249,1,2024-11-17 15:14:23
F398,Or2825,S246,5,2020-07-08 23:02:01
F399,Or1400,S951,5,2021-09-13 11:38:20
F400,Or6043,S551,5,2023-04-08 17:08:36
F401,Or6911,S330,2,2021-09-21 08:44:09
F402,Or9556,S918,3,2020-12-30 12:33:26
F403,Or8634,S930,4,2022-01-09 11:39:34
F404,Or8587,S665,1,2022-04-17 20:21:26
F405,Or3501,S766,3,2020-11-21 00:03:45
F406,Or1391,S751,5,2022-12-30 18:09:56
F407,Or5643,S815,4,2021-01-05 05:34:41
F408,Or9722,S646,4,2022-06-13 16:41:44
F409,Or8230,S932,1,2024-04-02 06:02:19
F410,Or3306,S367,3,2021-12-04 23:32:33
F411,Or5070,S657,2,2021-08-02 19:28:14
F412,Or7573,S451,4,2023-04-25 18:28:59
F413,Or3285,S288,4,2020-11-14 17:09:39
F414,Or8924,S259,4,2025-02-18 03:54:33
F415,Or698,S178,4,2021-04-22 21:17:20
F416,Or6689,S946,3,2023-07-12 00:00:12
F417,Or9513,S911,1,2023-02-07 09:32:26
F418,Or1403,S267,2,2022-01-03 06:27:47
F419,Or4504,S285,2,2022-05-27 11:33:09
F420,Or314,S607,2,2023-02-11 19:02:50
F421,Or5014,S326,5,2022-08-24 01:27:03
F422,Or109,S971,5,2021-01-08 01:04:42
F423,Or2908,S292,2,2023-05-02 17:41:51
F424,Or5802,S396,2,2022-12-13 06:31:10
F425,Or9847,S428,3,2023-11-18 07:29:58
F426,Or1962,S64,2,2024-07-10 07:43:51
F427,Or3420,S578,3,2021-11-29 21:50:45
F428,Or3781,S254,4,2021-04-04 14:44:59
F429,Or5061,S254,4,2021-06-18 10:39:56
F430,Or6050,S944,5,2022-10-08 21:49:25
F431,Or2442,S342,1,2024-02-16 02:25:49
F432,Or1073,S813,1,2021-02-28 14:46:46
F433,Or5581,S832,4,2022-01-26 05:55:17
F434,Or5354,S37,1,2025-04-26 08:42:36
F435,Or3838,S247,3,2022-09-30 17:40:17
F436,Or3807,S879,3,2020-06-28 05:28:39
F437,Or2652,S338,1,2023-09-12 11:02:25
F438,Or2962,S466,4,2024-04-28 18:58:31
F439,Or2350,S478,2,2022-12-20 21:51:06
F440,Or3671,S299,5,2023-01-30 06:10:05
F441,Or1161,S805,1,2020-09-16 08:55:28
F442,Or9531,S99,4,2021-10-14 05:41:36
F443,Or4815,S34,2,2021-08-31 15:52:18
F444,Or3098,S958,2,2020-12-18 05:23:17
F445,Or3521,S563,2,2021-12-15 15:55:48
F446,Or7802,S103,2,2025-04-17 01:53:25
F447,Or1012,S578,3,2020-07-26 14:45:54
F448,Or7283,S79,5,2023-11-16 01:03:40
F449,Or7553,S433,2,2022-04-08 16:33:26
F450,Or7646,S914,4,2024-02-21 12:15:52
F451,Or6997,S404,2,2021-01-18 05:08:29
F452,Or5571,S658,2,2023-08-30 02:39:28
F453,Or6572,S24,4,2020-06-11 05:13:22
F454,Or9472,S806,3,2024-12-20 13:12:29
F455,Or5931,S517,2,2024-03-08 20:21:20
F456,Or5452,S728,2,2024-07-24 06:33:54
F457,Or3960,S107,3,2021-06-17 21:31:59
F458,Or6032,S816,3,2022-04-05 13:39:58
F459,Or3553,S418,4,2020-10-27 19:02:32
F460,Or4923,S389,4,2022-05-26 03:07:58
F461,Or5448,S382,2,2020-11-30 19:47:51
F462,Or3584,S658,3,2021-04-17 09:20:03
F463,Or3771,S509,4,2021-07-16 09:27:25
F464,Or8420,S925,1,2022-12-14 06:22:17
F465,Or2950,S779,4,2024-06-28 08:27:45
F466,Or7906,S653,3,2024-10-07 12:18:06
F467,Or6088,S861,2,2022-06-14 09:23:28
F468,Or2273,S554,4,2023-03-26 19:37:57
F469,Or963,S251,3,2021-06-12 09:10:30
F470,Or9843,S771,2,2023-11-07 20:55:25
F471,Or8389,S281,2,2020-08-18 15:15:35
F472,Or3435,S950,2,2024-08-17 14:12:44
F473,Or3260,S196,4,2020-09-27 23:25:42
F474,Or4295,S176,1,2023-12-03 15:32:29
F475,Or6230,S482,3,2025-02-24 22:07:44
F476,Or7312,S826,4,2022-10-05 14:35:09
F477,Or2503,S10,2,2020-10-30 15:41:39
F478,Or5109,S842,1,2021-09-07 10:13:24
F479,Or9473,S648,1,2020-08-17 12:15:18
F480,Or7242,S863,4,2025-04-05 00:58:37
F481,Or2034,S67,4,2022-04-14 15:16:41
F482,Or8878,S326,1,2023-12-12 09:55:52
F483,Or7913,S732,3,2022-02-24 16:26:52
F484,Or7267,S108,2,2020-12-31 09:46:23
F485,Or4316,S599,5,2022-03-27 23:07:52
F486,Or937,S841,1,2023-07-30 09:55:30
F487,Or8427,S746,2,2022-07-25 15:50:21
F488,Or8651,S693,2,2021-04-12 23:01:22
F489,Or161,S363,4,2025-04-19 23:34:09
F490,Or1890,S540,1,2021-01-31 19:08:14
F491,Or1019,S36,2,2022-03-25 04:36:39
F492,Or9323,S272,2,2020-06-25 12:58:11
F493,Or876,S174,2,2025-06-03 03:09:37
F494,Or8521,S469,3,2023-05-01 23:04:18
F495,Or7645,S162,3,2024-10-15 18:50:44
F496,Or7300,S967,4,2020-11-12 01:05:09
F497,Or201,S556,4,2020-07-26 19:24:00
F498,Or8465,S439,1,2021-06-17 14:32:31
F499,Or8639,S642,3,2024-11-18 09:37:15
F500,Or140,S549,5,2024-04-28 01:49:43
F501,Or7225,S753,1,2020-11-22 16:32:02
F502,Or6101,S959,1,2023-04-18 13:05:33
F503,Or7394,S844,5,2023-04-16 09:04:46
F504,Or9074,S755,5,2020-11-11 22:11:19
F505,Or6451,S19,4,2022-10-31 03:31:32
F506,Or3255,S388,1,2024-07-23 14:34:11
F507,Or8171,S938,3,2024-04-22 02:22:38
F508,Or3169,S601,5,2023-09-07 02:14:38
F509,Or6970,S423,1,2023-02-15 10:30:25
F510,Or2246,S452,4,2022-11-04 21:47:57
F511,Or9192,S522,3,2024-06-14 20:39:18
F512,Or7848,S409,4,2021-05-24 01:12:46
F513,Or9985,S710,2,2024-04-12 06:04:45
F514,Or2686,S737,4,2023-09-02 12:22:22
F515,Or3111,S413,5,2025-02-23 23:41:19
F516,Or6130,S24,2,2021-07-11 09:00:59
F517,Or6807,S850,5,2021-01-11 00:18:32
F518,Or9243,S615,2,2023-09-02 03:59:32
F519,Or5751,S717,4,2021-02-20 13:35:47
F520,Or6377,S824,3,2022-12-25 03:58:29
F521,Or2604,S96,1,2022-07-15 00:44:58
F522,Or2937,S27,1,2020-11-08 04:37:28
F523,Or1247,S29,5,2022-09-17 03:47:00
F524,Or6060,S402,4,2021-10-19 09:43:09
F525,Or977,S955,2,2021-06-01 18:57:26
F526,Or7314,S291,2,2022-06-25 22:32:45
F527,Or5672,S886,3,2022-11-13 21:16:02
F528,Or8270,S25,1,2021-10-12 20:48:26
F529,Or8043,S810,3,2023-04-30 19:16:01
F530,Or4880,S709,3,2023-08-16 17:38:42
F531,Or6254,S335,2,2023-11-15 10:46:47
F532,Or2609,S258,4,2023-06-19 02:27:03
F533,Or2951,S845,4,2023-04-07 19:24:11
F534,Or4398,S604,2,2021-10-17 07:58:25
F535,Or9962,S724,3,2021-08-14 01:36:15
F536,Or8094,S30,1,2025-04-29 19:35:45
F537,Or8135,S362,5,2021-07-27 08:51:24
F538,Or9788,S596,3,2023-01-03 17:58:16
