inventory_id,product_id,seller_id,stock_level
Inv349,P6066,S823,100
Inv350,P5870,S351,78
Inv351,P6135,S517,24
Inv352,P5517,S949,2
Inv353,P9085,S486,16
Inv354,P4887,S569,56
Inv355,P2853,S294,14
Inv356,P1197,S179,97
Inv357,P7382,S53,15
Inv358,P3703,S306,88
Inv359,P5028,S548,99
Inv360,P7731,S666,76
Inv361,P5699,S720,48
Inv362,P8956,S906,98
Inv363,P2530,S949,86
Inv364,P5781,S815,48
Inv365,P8660,S953,79
Inv366,P4337,S703,22
Inv367,P7304,S817,93
Inv368,P7151,S21,100
Inv369,P1953,S273,52
Inv370,P5330,S264,54
Inv371,P2907,S277,49
Inv372,P2783,S485,45
Inv373,P4285,S34,85
Inv374,P6289,S204,29
Inv375,P6840,S302,23
Inv376,P6540,S894,93
Inv377,P4006,S751,20
Inv378,P1447,S316,55
Inv379,P2939,S368,76
Inv380,P3588,S175,11
Inv381,P1084,S488,76
Inv382,P4228,S549,64
Inv383,P3086,S535,37
Inv384,P4944,S895,63
Inv385,P8804,S695,45
Inv386,P7043,S991,49
Inv387,P5538,S950,76
Inv388,P2961,S520,85
Inv389,P8341,S977,50
Inv390,P9560,S386,34
Inv391,P6363,S747,22
Inv392,P2142,S989,74
Inv393,P6452,S189,7
Inv394,P6570,S677,0
Inv395,P2664,S81,10
Inv396,P6152,S483,97
Inv397,P2701,S198,47
Inv398,P1142,S407,55
Inv399,P6731,S913,95
Inv400,P9054,S117,76
Inv401,P3695,S201,22
Inv402,P3635,S565,3
Inv403,P8913,S11,78
Inv404,P7080,S312,66
Inv405,P2340,S889,50
Inv406,P5234,S281,27
Inv407,P2795,S310,40
Inv408,P9054,S13,34
Inv409,P3722,S420,100
Inv410,P1084,S350,86
Inv411,P1604,S262,47
Inv412,P1376,S604,13
Inv413,P5833,S6,97
Inv414,P8426,S957,20
Inv415,P4815,S587,59
Inv416,P3967,S884,37
Inv417,P6151,S627,31
Inv418,P3540,S764,34
Inv419,P3578,S918,89
Inv420,P7834,S469,45
Inv421,P6700,S509,79
Inv422,P5469,S919,88
Inv423,P7510,S313,88
Inv424,P2705,S7,31
Inv425,P7311,S854,89
Inv426,P7468,S347,55
Inv427,P2188,S793,66
Inv428,P8421,S17,85
Inv429,P1971,S34,80
Inv430,P7222,S720,83
Inv431,P1453,S128,24
Inv432,P5230,S460,19
Inv433,P8757,S988,91
Inv434,P4145,S249,90
Inv435,P9572,S412,84
Inv436,P2402,S368,0
Inv437,P6291,S857,75
Inv438,P6868,S798,72
Inv439,P5896,S535,59
Inv440,P8225,S656,65
Inv441,P3904,S887,56
Inv442,P9891,S910,97
Inv443,P5617,S211,18
Inv444,P1950,S956,71
Inv445,P9903,S11,83
Inv446,P8128,S282,30
Inv447,P7679,S233,77
Inv448,P6034,S534,36
Inv449,P2532,S777,13
Inv450,P6831,S686,86
Inv451,P7020,S799,68
Inv452,P9729,S213,15
Inv453,P9006,S532,91
Inv454,P2133,S45,82
Inv455,P8994,S552,77
Inv456,P9599,S651,19
Inv457,P5731,S659,40
Inv458,P1910,S790,48
Inv459,P5113,S710,83
Inv460,P1955,S474,92
Inv461,P8458,S357,84
Inv462,P7064,S167,81
Inv463,P4423,S865,42
Inv464,P2160,S834,14
Inv465,P1965,S370,53
Inv466,P9677,S917,97
Inv467,P5936,S716,40
Inv468,P8756,S666,3
Inv469,P9068,S450,93
Inv470,P7565,S301,66
Inv471,P8499,S956,76
Inv472,P1398,S166,37
Inv473,P8624,S267,12
Inv474,P3035,S378,69
Inv475,P2072,S871,82
Inv476,P3708,S700,84
Inv477,P2182,S31,64
Inv478,P9168,S245,41
Inv479,P4899,S651,48
Inv480,P7280,S740,41
Inv481,P4870,S185,68
Inv482,P6445,S48,45
Inv483,P6502,S580,97
Inv484,P8596,S796,45
Inv485,P5245,S745,9
Inv486,P7600,S197,15
Inv487,P7713,S945,99
Inv488,P3846,S651,33
Inv489,P9434,S99,40
Inv490,P2312,S178,24
Inv491,P9658,S911,76
Inv492,P3788,S337,78
Inv493,P5406,S909,70
Inv494,P6585,S434,31
Inv495,P8404,S662,67
Inv496,P2707,S194,98
Inv497,P7021,S888,61
Inv498,P4318,S852,58
Inv499,P6208,S575,89
Inv500,P5937,S674,51
Inv501,P5359,S744,14
Inv502,P9455,S403,18
Inv503,P7572,S934,35
Inv504,P5342,S583,78
Inv505,P6407,S891,83
Inv506,P6070,S875,27
Inv507,P7939,S279,52
Inv508,P9181,S882,61
Inv509,P5339,S259,51
Inv510,P9137,S196,59
Inv511,P6962,S505,17
Inv512,P3854,S437,48
Inv513,P6837,S417,41
Inv514,P3170,S133,40
Inv515,P8006,S650,43
Inv516,P3167,S692,88
Inv517,P9752,S766,90
Inv518,P8718,S20,94
Inv519,P1395,S685,31
Inv520,P9722,S24,97
Inv521,P4517,S400,45
Inv522,P6634,S225,72
Inv523,P5203,S791,69
Inv524,P9044,S869,45
Inv525,P5625,S788,75
Inv526,P1548,S609,13
Inv527,P7486,S441,58
Inv528,P6908,S297,5
Inv529,P2686,S720,39
Inv530,P3972,S845,18
Inv531,P9101,S351,96
Inv532,P5292,S652,49
Inv533,P1237,S303,99
Inv534,P1643,S352,83
Inv535,P8630,S579,70
Inv536,P7686,S42,41
Inv537,P8414,S432,1
Inv538,P4186,S347,17
Inv539,P4018,S641,53
Inv540,P7484,S189,8
Inv541,P9871,S951,17
Inv542,P6721,S972,1
Inv543,P9208,S572,15
Inv544,P8003,S425,83
Inv545,P9447,S417,40
Inv546,P1991,S89,97
Inv547,P2472,S547,37
Inv548,P4118,S573,58
Inv549,P4944,S157,31
Inv550,P8193,S926,89
Inv551,P7681,S919,57
Inv552,P9453,S27,32
Inv553,P5658,S296,33
Inv554,P2924,S88,47
Inv555,P2756,S333,36
Inv556,P2949,S267,34
Inv557,P7347,S180,63
Inv558,P6228,S434,86
Inv559,P7125,S439,72
Inv560,P5839,S360,64
Inv561,P9438,S281,9
Inv562,P4441,S634,80
Inv563,P8505,S934,33
Inv564,P6685,S749,7
Inv565,P5206,S941,87
Inv566,P6968,S866,44
Inv567,P4514,S238,45
Inv568,P2209,S595,60
Inv569,P8151,S701,34
Inv570,P4259,S706,65
Inv571,P1026,S296,97
Inv572,P6931,S787,9
Inv573,P4783,S13,73
Inv574,P8508,S942,42
Inv575,P2392,S488,75
Inv576,P1572,S577,81
Inv577,P3368,S37,96
Inv578,P2350,S597,98
Inv579,P6332,S198,56
Inv580,P9674,S550,17
Inv581,P6038,S526,25
Inv582,P8109,S316,22
Inv583,P6779,S141,46
Inv584,P1496,S980,20
Inv585,P4338,S440,92
Inv586,P9483,S411,40
Inv587,P4030,S301,4
Inv588,P3635,S157,84
Inv589,P3027,S424,54
Inv590,P5187,S826,51
Inv591,P9951,S753,68
Inv592,P5560,S72,100
Inv593,P7223,S50,35
Inv594,P7639,S229,53
Inv595,P7937,S813,35
Inv596,P8660,S81,29
Inv597,P6263,S470,12
Inv598,P1907,S40,85
Inv599,P1346,S557,5
Inv600,P2428,S429,75
Inv601,P7732,S641,92
Inv602,P9711,S293,84
Inv603,P5131,S252,23
Inv604,P8344,S105,55
Inv605,P6741,S431,42
Inv606,P8958,S678,6
Inv607,P4534,S275,10
Inv608,P9352,S586,56
Inv609,P5744,S898,59
Inv610,P3378,S19,95
Inv611,P4510,S831,4
Inv612,P1226,S179,45
Inv613,P3200,S808,99
Inv614,P9836,S389,43
Inv615,P5085,S422,99
Inv616,P2732,S281,22
Inv617,P9757,S415,43
Inv618,P5763,S560,23
Inv619,P4206,S826,73
Inv620,P3356,S425,13
Inv621,P9312,S725,32
Inv622,P5859,S318,15
Inv623,P7989,S71,1
Inv624,P9620,S323,73
Inv625,P1249,S674,65
Inv626,P7810,S58,23
Inv627,P6345,S236,90
Inv628,P7908,S221,98
Inv629,P6231,S428,75
Inv630,P9296,S494,63
Inv631,P2746,S780,67
Inv632,P5923,S963,18
Inv633,P3269,S857,78
Inv634,P9774,S758,56
Inv635,P4878,S409,6
Inv636,P4612,S627,12
Inv637,P9829,S318,22
Inv638,P7744,S128,47
Inv639,P3390,S988,56
Inv640,P5217,S190,65
Inv641,P1236,S591,15
Inv642,P7126,S759,43
Inv643,P9245,S103,43
Inv644,P6535,S443,78
Inv645,P9701,S735,92
Inv646,P1295,S805,54
Inv647,P3432,S438,48
Inv648,P4191,S290,79
Inv649,P7516,S352,66
Inv650,P2030,S820,66
Inv651,P3399,S803,20
Inv652,P5843,S142,35
Inv653,P6839,S504,66
Inv654,P8041,S55,17
Inv655,P4201,S267,32
Inv656,P6068,S442,4
Inv657,P8466,S722,26
Inv658,P9038,S138,14
Inv659,P8005,S510,40
Inv660,P7065,S527,13
Inv661,P4614,S250,64
Inv662,P6002,S905,56
Inv663,P6631,S936,59
Inv664,P7561,S296,72
Inv665,P1520,S261,22
Inv666,P9787,S496,79
Inv667,P9236,S365,14
Inv668,P8904,S98,12
Inv669,P6502,S721,89
Inv670,P3058,S950,66
Inv671,P5376,S798,27
Inv672,P3991,S60,81
Inv673,P3446,S132,12
Inv674,P1596,S352,43
Inv675,P4772,S405,50
Inv676,P9992,S343,24
Inv677,P7813,S381,66
Inv678,P8114,S456,37
Inv679,P8918,S253,17
Inv680,P3616,S634,73
Inv681,P6575,S36,51
Inv682,P8381,S857,2
Inv683,P8695,S887,23
Inv684,P1421,S166,34
Inv685,P6213,S165,94
Inv686,P2745,S38,12
Inv687,P7052,S611,70
Inv688,P5144,S805,74
Inv689,P6520,S950,90
Inv690,P9119,S944,80
Inv691,P4458,S134,65
Inv692,P1104,S904,84
Inv693,P2020,S647,54
Inv694,P7030,S323,58
Inv695,P1424,S937,50
Inv696,P7950,S788,59
Inv697,P6577,S475,3
Inv698,P2239,S913,16
Inv699,P6003,S688,29
Inv700,P6230,S727,57
Inv701,P8550,S41,29
Inv702,P2845,S434,92
Inv703,P5037,S556,33
Inv704,P7055,S621,96
Inv705,P9723,S424,11
Inv706,P5622,S892,53
Inv707,P9683,S339,64
Inv708,P2869,S981,86
Inv709,P7243,S529,59
Inv710,P4988,S661,38
Inv711,P8883,S514,3
Inv712,P4960,S678,83
Inv713,P3889,S356,92
Inv714,P3587,S921,15
Inv715,P9251,S81,51
Inv716,P4551,S892,39
Inv717,P1177,S387,61
Inv718,P9317,S311,23
Inv719,P2338,S664,39
Inv720,P4546,S167,42
Inv721,P8183,S877,90
Inv722,P7946,S305,30
Inv723,P6324,S221,53
Inv724,P7661,S882,51
Inv725,P7809,S462,64
Inv726,P2061,S492,26
Inv727,P5329,S735,13
Inv728,P9742,S253,7
Inv729,P5244,S481,19
Inv730,P6789,S13,51
Inv731,P4907,S442,74
Inv732,P6518,S188,16
Inv733,P5380,S665,89
Inv734,P4144,S843,87
Inv735,P7782,S381,93
Inv736,P7579,S4,94
Inv737,P6219,S212,77
Inv738,P1017,S279,58
Inv739,P3714,S775,91
Inv740,P8506,S41,13
Inv741,P4977,S613,51
Inv742,P2699,S291,85
Inv743,P9097,S84,81
Inv744,P6115,S822,67
Inv745,P2904,S744,97
Inv746,P1370,S894,96
Inv747,P8631,S371,43
Inv748,P1584,S289,24
Inv749,P1506,S407,79
Inv750,P6206,S385,11
Inv751,P2068,S848,80
Inv752,P1525,S361,1
Inv753,P9425,S185,75
Inv754,P4036,S11,60
Inv755,P3821,S159,5
Inv756,P3893,S212,89
Inv757,P3970,S513,36
Inv758,P6636,S95,30
Inv759,P5079,S46,45
Inv760,P2634,S137,65
Inv761,P6219,S84,80
Inv762,P6782,S255,54
Inv763,P3347,S374,31
Inv764,P6482,S534,97
Inv765,P3771,S356,4
Inv766,P4925,S183,3
Inv767,P5246,S807,22
Inv768,P7624,S107,95
Inv769,P4373,S332,92
Inv770,P9020,S737,30
Inv771,P2313,S65,41
Inv772,P5365,S583,25
Inv773,P3945,S304,22
Inv774,P6606,S645,59
Inv775,P1845,S39,63
Inv776,P4220,S939,88
Inv777,P4553,S732,7
Inv778,P5871,S505,64
Inv779,P6609,S373,79
Inv780,P8021,S129,76
Inv781,P9713,S999,88
Inv782,P2064,S521,71
Inv783,P4297,S275,34
Inv784,P6028,S359,59
Inv785,P2856,S689,30
Inv786,P9512,S915,1
Inv787,P9817,S700,90
Inv788,P9240,S747,83
Inv789,P2759,S597,93
Inv790,P1064,S121,90
Inv791,P8272,S700,93
Inv792,P3524,S478,2
Inv793,P4994,S412,54
Inv794,P8282,S956,4
Inv795,P3438,S114,40
Inv796,P6098,S729,12
Inv797,P6158,S679,1
Inv798,P4317,S592,48
Inv799,P7206,S113,16
Inv800,P3648,S487,79
Inv801,P8613,S427,41
Inv802,P7077,S452,28
Inv803,P1182,S235,32
Inv804,P1488,S464,9
Inv805,P1220,S670,9
Inv806,P6895,S519,99
Inv807,P5025,S378,23
Inv808,P8934,S47,40
Inv809,P5695,S130,2
Inv810,P5484,S548,79
Inv811,P5035,S580,20
Inv812,P5053,S277,51
Inv813,P5563,S961,18
Inv814,P5894,S76,40
Inv815,P8650,S277,81
Inv816,P5988,S857,55
Inv817,P4227,S312,63
Inv818,P7012,S511,66
Inv819,P9597,S383,78
Inv820,P5036,S605,24
Inv821,P6928,S569,100
Inv822,P7804,S267,60
Inv823,P7734,S549,64
Inv824,P2228,S364,98
Inv825,P7709,S277,16
Inv826,P5738,S254,43
Inv827,P6665,S121,14
Inv828,P9950,S325,6
Inv829,P4401,S422,8
Inv830,P1888,S432,10
Inv831,P3496,S671,92
Inv832,P3877,S322,92
Inv833,P3238,S399,90
Inv834,P9550,S161,51
Inv835,P5244,S46,47
Inv836,P4761,S108,81
Inv837,P5326,S784,33
Inv838,P3961,S419,25
Inv839,P2000,S456,90
Inv840,P4462,S447,10
Inv841,P7378,S364,23
Inv842,P8510,S838,40
Inv843,P5268,S21,19
Inv844,P9729,S965,42
Inv845,P4932,S621,50
Inv846,P2714,S717,98
Inv847,P4157,S123,19
Inv848,P5851,S17,64
Inv849,P8315,S978,43
Inv850,P7673,S333,51
Inv851,P7532,S646,82
Inv852,P4011,S36,17
Inv853,P4640,S969,54
Inv854,P9307,S655,69
Inv855,P1889,S237,66
Inv856,P8323,S930,43
Inv857,P4413,S403,73
Inv858,P9317,S177,23
Inv859,P7978,S917,37
Inv860,P4422,S90,2
Inv861,P5968,S783,81
Inv862,P3465,S11,10
Inv863,P7112,S831,41
Inv864,P1059,S870,79
Inv865,P7049,S469,54
Inv866,P8986,S559,62
Inv867,P6459,S235,69
Inv868,P3134,S737,45
Inv869,P3399,S979,42
Inv870,P1103,S767,93
Inv871,P8160,S617,49
Inv872,P3819,S705,41
Inv873,P8417,S626,80
Inv874,P5297,S713,21
Inv875,P1556,S971,41
Inv876,P7158,S241,98
Inv877,P6026,S683,67
Inv878,P8208,S875,15
Inv879,P3444,S230,5
Inv880,P1203,S886,61
Inv881,P2213,S284,31
Inv882,P4565,S38,79
Inv883,P8039,S684,89
Inv884,P2038,S968,69
Inv885,P2299,S772,92
Inv886,P9128,S134,78
Inv887,P7188,S822,55
Inv888,P2339,S105,33
Inv889,P2157,S271,36
Inv890,P6518,S150,50
Inv891,P4070,S743,4
Inv892,P5853,S796,12
Inv893,P4133,S77,70
Inv894,P8837,S929,73
Inv895,P3198,S3,59
Inv896,P1392,S892,4
Inv897,P3839,S984,9
Inv898,P9857,S695,42
Inv899,P1994,S153,98
Inv900,P2549,S644,26
Inv901,P6630,S158,37
Inv902,P6337,S529,90
Inv903,P7172,S454,18
Inv904,P3748,S560,39
Inv905,P4913,S693,45
Inv906,P3558,S895,56
Inv907,P6804,S656,76
Inv908,P9068,S303,10
Inv909,P8090,S406,76
Inv910,P7689,S302,96
Inv911,P6107,S531,69
Inv912,P3690,S800,58
Inv913,P8735,S438,83
Inv914,P5235,S141,40
Inv915,P4629,S904,100
Inv916,P3261,S53,33
Inv917,P3451,S471,95
Inv918,P9252,S643,38
Inv919,P7714,S839,17
Inv920,P9920,S268,7
Inv921,P5298,S113,66
Inv922,P1639,S213,28
Inv923,P5412,S622,13
Inv924,P6517,S735,54
Inv925,P2360,S207,34
Inv926,P7026,S732,53
Inv927,P3421,S769,3
Inv928,P2990,S129,23
Inv929,P6813,S716,44
Inv930,P5441,S693,65
Inv931,P3503,S660,53
Inv932,P3225,S105,88
Inv933,P1770,S516,84
Inv934,P1179,S74,42
Inv935,P2743,S49,87
Inv936,P9323,S305,38
Inv937,P5724,S327,39
Inv938,P7668,S885,42
Inv939,P2771,S534,70
Inv940,P6469,S870,10
Inv941,P9383,S644,34
Inv942,P3350,S285,54
Inv943,P2958,S357,66
Inv944,P4221,S400,36
Inv945,P3308,S150,31
Inv946,P4303,S337,74
Inv947,P8678,S425,64
Inv948,P2024,S314,77
Inv949,P6776,S463,77
Inv950,P9025,S553,97
Inv951,P1742,S988,59
Inv952,P4476,S485,30
Inv953,P4179,S188,23
Inv954,P2411,S640,26
Inv955,P5143,S551,88
Inv956,P2266,S272,84
Inv957,P8967,S990,32
Inv958,P3719,S354,72
Inv959,P8071,S738,54
Inv960,P4821,S930,91
Inv961,P2449,S52,73
Inv962,P6815,S846,60
Inv963,P4542,S88,47
Inv964,P5232,S374,23
Inv965,P7011,S550,99
Inv966,P1205,S441,32
Inv967,P5416,S745,62
Inv968,P2718,S737,86
Inv969,P4531,S697,68
Inv970,P5872,S228,45
Inv971,P5320,S560,61
Inv972,P3987,S181,95
Inv973,P4490,S696,2
Inv974,P3518,S170,27
Inv975,P8177,S651,49
Inv976,P8065,S993,2
Inv977,P4749,S385,28
Inv978,P8430,S154,70
Inv979,P7096,S435,92
Inv980,P8695,S234,76
Inv981,P1404,S567,14
Inv982,P7872,S263,87
Inv983,P5132,S619,64
Inv984,P6699,S428,2
Inv985,P8979,S483,88
Inv986,P6044,S537,56
Inv987,P8051,S261,47
Inv988,P1539,S863,49
Inv989,P4695,S530,1
Inv990,P2278,S121,92
Inv991,P5466,S707,46
Inv992,P7147,S927,41
Inv993,P3550,S826,56
Inv994,P4913,S225,70
Inv995,P6732,S537,97
Inv996,P1446,S997,73
Inv997,P1016,S559,6
